KEYWORD	TRANSLATION_01	TRANSLATION_02	TRANSLATION_03	TRANSLATION_04	TRANSLATION_05	TRANSLATION_06	TRANSLATION_07	TRANSLATION_08	TRANSLATION_09	TRANSLATION_10	TRADITIONAL	SIMPLIFIED	
lose	verlieren	abhanden kommen	verlorengehen										
feudal official	Beamter												
be about to	kurz vor	gerade bei											
worthy	tugendhaft	pflichtgetreu	fähig	würdig									
firm (adj.)	straff	dicht	eng										
power	Kraft	Stärke	Fähigkeit										
another	anders	anderer											
don‘t	nicht tun!	nicht …!											
turn (v.)	abbiegen	einbiegen											
male (n.)	Mann	männlich											
achievement	Verdienst	Leistung	Errungenschaft	Erfolg									
slave (n.)	Sklave	Knecht											
toil (v.)	sich anstrengen												
add	addieren	plus	zusammenzählen	hinzufügen									
congratulate	gratulieren	beglückwünschen											
shelf (n.)	Regal	Gerüst	Gestell										
cooperate	kooperieren	zusammen arbeiten	gemeinsam	mit vereinten Kräften									
line of business	Geschäftsbereich	Branche											
law	Gesetz	Regel	Statut										
recover	sich umwälzen	sich hin- und her drehen	wiederherstellen	sich rächen	Rache								
must (aux. v.)	müssen												
